Date,Open,High,Low,Close
02-01-2009,9973.05957,10070.28027,9863.860352,9958.219727
05-01-2009,10124.91992,10306.16992,10069.11035,10275.59961
06-01-2009,10241.50977,10392.12012,10150.67969,10335.92969
07-01-2009,10424.95996,10469.71973,9510.150391,9586.879883
09-01-2009,9434.849609,9630.400391,9250.820312,9406.469727
12-01-2009,9306.740234,9327.299805,9024.450195,9110.049805
13-01-2009,9042.360352,9261,8992.919922,9071.360352
14-01-2009,9223.160156,9412.969727,9071.360352,9370.490234
15-01-2009,9000.620117,9123.780273,8946.620117,9046.740234
16-01-2009,9125.650391,9342.469727,9125.650391,9323.589844
19-01-2009,9365.040039,9409.509766,9273.469727,9329.570312
20-01-2009,9159.759766,9159.759766,9033.549805,9100.549805
21-01-2009,8900.780273,9051.30957,8734.929688,8779.169922
22-01-2009,8905.969727,8927.69043,8699.320312,8813.839844
23-01-2009,8804.150391,8858.839844,8631.599609,8674.349609
27-01-2009,8803.070312,9021.969727,8791.580078,9004.080078
28-01-2009,9077.650391,9270.75,9053.799805,9257.469727
29-01-2009,9340.589844,9379.679688,9164.959961,9236.280273
30-01-2009,9111.120117,9438.30957,9088.150391,9424.240234
02-02-2009,9363.580078,9363.580078,9048.969727,9066.700195
03-02-2009,9128.990234,9302.25,9040.55957,9149.299805
04-02-2009,9226.200195,9338.209961,9164.160156,9201.849609
05-02-2009,9241.55957,9247.089844,9017.080078,9090.879883
06-02-2009,9161.490234,9321.379883,9160.830078,9300.860352
09-02-2009,9359,9601.55957,9329.299805,9583.889648
10-02-2009,9589.950195,9724.870117,9510.629883,9647.469727
11-02-2009,9462.139648,9648.389648,9459.589844,9618.540039
12-02-2009,9559.030273,9578.990234,9445.540039,9465.830078
13-02-2009,9540.599609,9695.589844,9540.599609,9634.740234
16-02-2009,9637.040039,9637.040039,9279.099609,9305.450195
17-02-2009,9213.400391,9213.400391,8994.339844,9035
18-02-2009,8939.379883,9112.990234,8929.620117,9015.179688
19-02-2009,9034.900391,9111.269531,8977.799805,9042.629883
20-02-2009,8943.780273,8943.780273,8762.580078,8843.209961
24-02-2009,8707.349609,8856.519531,8619.219727,8822.05957
25-02-2009,8913.44043,8995.040039,8880.150391,8902.55957
26-02-2009,8905.55957,8998.30957,8788.94043,8954.860352
27-02-2009,8944.110352,8944.110352,8728.660156,8891.610352
02-03-2009,8762.879883,8762.879883,8563.519531,8607.080078
03-03-2009,8583.05957,8635.200195,8393.049805,8427.290039
04-03-2009,8473.25,8501.459961,8373.240234,8446.490234
05-03-2009,8535.030273,8535.030273,8167.75,8197.919922
06-03-2009,8103.75,8347.099609,8047.169922,8325.820312
09-03-2009,8259.219727,8259.219727,8110.100098,8160.399902
12-03-2009,8274.780273,8439.259766,8274.780273,8343.75
13-03-2009,8480.740234,8793.209961,8480.740234,8756.610352
16-03-2009,8793.889648,8955.730469,8697.459961,8943.540039
17-03-2009,8942.009766,9024.120117,8801.790039,8863.820312
18-03-2009,8956.299805,9120.400391,8951.320312,8976.679688
19-03-2009,9023.040039,9086.769531,8900.389648,9001.75
20-03-2009,8951.339844,8999.980469,8867.129883,8966.679688
23-03-2009,9040.299805,9454.69043,9040.299805,9424.019531
24-03-2009,9549.519531,9699,9402.639648,9471.040039
25-03-2009,9442.299805,9704.69043,9430.450195,9667.900391
26-03-2009,9739.929688,10061.36035,9739.929688,10003.09961
27-03-2009,10036.79981,10127.08984,9913.400391,10048.49023
30-03-2009,9902.349609,9902.349609,9521.759766,9568.139648
31-03-2009,9633.209961,9826.219727,9547.209961,9708.5
01-04-2009,9745.769531,9921.959961,9546.290039,9901.990234
02-04-2009,10107.25,10431.98047,10107.25,10348.83008
06-04-2009,10521.78027,10654.88965,10410.44043,10534.87012
08-04-2009,10283.58008,10778.11035,10173,10742.33984
09-04-2009,10876.15039,10929.33008,10655.95996,10803.86035
13-04-2009,10916.42969,11069.54004,10800.83984,10967.21973
15-04-2009,10805.13965,11337.75,10719.17969,11284.73047
16-04-2009,11358.05957,11362.30957,10900.46973,10947.40039
17-04-2009,11067.70996,11339.46973,10946.25,11023.08984
20-04-2009,11065.09961,11209.66016,10863.28027,10979.5
21-04-2009,10765.38965,11068.82031,10764.08008,10898.11035
22-04-2009,10968.59961,11036.24023,10715.66016,10817.54004
23-04-2009,10841.57031,11200.86035,10758.96973,11134.99023
24-04-2009,11149.46973,11362.87988,11070.33008,11329.04981
27-04-2009,11237.41992,11492.09961,11176.54981,11371.84961
28-04-2009,11371.33984,11371.33984,10961.75977,11001.75
29-04-2009,11091.55957,11430.25,11091.55957,11403.25
04-05-2009,11635.24023,12160.32031,11635.24023,12134.75
05-05-2009,12159.74023,12197.87988,11985.87988,12131.08008
06-05-2009,12100.69043,12272.04004,11899.41016,11952.75
07-05-2009,12064.50977,12143.9502,11981.12988,12116.94043
08-05-2009,12092.96973,12180.07031,11765.05957,11876.42969
11-05-2009,11997.37012,12026.59961,11621.29981,11682.99023
12-05-2009,11629.96973,12194.62988,11625.38965,12158.03027
13-05-2009,12201.92969,12256.42969,11934.44043,12019.65039
14-05-2009,11774.04004,11935.86035,11695.51953,11872.91016
15-05-2009,11948.7002,12218.98047,11948.7002,12173.41992
18-05-2009,13479.38965,14284.20996,13479.38965,14284.20996
19-05-2009,14757.82031,14930.54004,13840.83008,14302.03027
20-05-2009,14230.73047,14405.50977,13976.49023,14060.66016
21-05-2009,14043.37988,14089.50977,13704.42969,13736.54004
22-05-2009,13663.54004,13936.92969,13611.29981,13887.15039
25-05-2009,13999.44043,14027.59961,13819.78027,13913.21973
26-05-2009,13983.25977,13991.45996,13524.92969,13589.23047
27-05-2009,13851.84961,14122.78027,13848.15039,14109.63965
28-05-2009,14139.13965,14376.33984,14080.98047,14296.00977
29-05-2009,14384.75977,14726.59961,14384.75977,14625.25
01-06-2009,14790.88965,14906.80957,14658.00977,14840.62988
02-06-2009,14942.20996,14994.21973,14608.23047,14874.91016
03-06-2009,14902.62012,15045.87988,14734.90039,14870.90039
04-06-2009,14755.08008,15026.03027,14601.91016,15008.67969
05-06-2009,15040.24023,15257.29981,14994.04981,15103.54981
08-06-2009,15153.20996,15184.87012,14604.23047,14665.91992
09-06-2009,14618.98047,15159.26953,14526.69043,15127
10-06-2009,15168.17969,15580.80957,15168.17969,15466.80957
11-06-2009,15517.36035,15568.74023,15242.19043,15411.46973
12-06-2009,15446.82031,15600.29981,15174.28027,15237.94043
15-06-2009,15195.83008,15261.03027,14808.08984,14875.51953
16-06-2009,14788.26953,15022.19043,14621.96973,14957.91016
17-06-2009,14978.5,14995.66016,14447.92969,14522.83984
18-06-2009,14503.04981,14630.73047,14188.25,14265.53027
19-06-2009,14321.98047,14559.08008,14179.76953,14521.88965
22-06-2009,14591.28027,14668.40039,14269.76953,14326.21973
23-06-2009,14147.87012,14394.19043,14016.9502,14324.00977
24-06-2009,14388.20996,14479.82031,14207.01953,14422.73047
25-06-2009,14476.15039,14578.45996,14261.13965,14345.62012
26-06-2009,14373.57031,14781.94043,14373.57031,14764.63965
29-06-2009,14764.63965,14955.54981,14685.4502,14785.74023
30-06-2009,14785.74023,14907.48047,14420.41016,14493.83984
01-07-2009,14493.83984,14727.49023,14355.51953,14645.46973
02-07-2009,14694.30957,14764.34961,14469.69043,14658.49023
03-07-2009,14552.71973,14945.84961,14499.74023,14913.04981
06-07-2009,14962.12012,15097.87012,13959.44043,14043.40039
07-07-2009,14103.65039,14251.87988,14000.67969,14170.4502
08-07-2009,14039.58008,14039.58008,13701.75977,13769.15039
09-07-2009,13796.19043,13879.17969,13643.96973,13757.45996
10-07-2009,13803.12012,13897.19043,13418.38965,13504.21973
13-07-2009,13405.9502,13461.67969,13219.99023,13400.32031
14-07-2009,13549.41992,13903.48047,13549.41992,13853.7002
15-07-2009,13917.26953,14299.54004,13891.04004,14253.24023
16-07-2009,14351.96973,14493.09961,14169.58008,14250.25
17-07-2009,14325.58008,14800.7002,14250.25,14744.91992
20-07-2009,14854.16992,15209.36035,14854.16992,15191.00977
21-07-2009,15218.83008,15234.20996,14955.87988,15062.49023
22-07-2009,15124.91992,15369.41992,14786.58008,14843.12012
23-07-2009,15008.78027,15264.83984,14843.12012,15231.04004
24-07-2009,15272.00977,15418.61035,15168.51953,15378.95996
27-07-2009,15350.88965,15463.08984,15228.45996,15375.04004
28-07-2009,15428.5,15463.45996,15240.53027,15331.94043
29-07-2009,15293.19043,15379.42969,14888.41016,15173.45996
30-07-2009,15169.23047,15409.91016,15065.48047,15387.95996
31-07-2009,15449.46973,15732.80957,15449.46973,15670.30957
03-08-2009,15694.78027,15963.36035,15608.40039,15924.23047
04-08-2009,15940.09961,16002.45996,15699.12988,15830.98047
05-08-2009,15882.38965,15973.09961,15695.11035,15903.83008
06-08-2009,15881.46973,15969.80957,15443.21973,15514.03027
07-08-2009,15440.9502,15501.94043,15104,15160.24023
10-08-2009,15287.13965,15417.33984,14902.01953,15009.76953
11-08-2009,15000.37988,15218.65039,14864.23047,15074.58984
12-08-2009,14953.44043,15043.62012,14701.04981,15020.16016
13-08-2009,15207.95996,15545.12988,15207.95996,15518.49023
14-08-2009,15530.37988,15535.46973,15367.61035,15411.62988
17-08-2009,15284.23047,15411.62988,14740.62988,14784.91992
18-08-2009,14745.79981,15134.50977,14740.25977,15035.25977
19-08-2009,15079.04004,15096.94043,14684.4502,14809.63965
20-08-2009,14930.04981,15145,14928.17969,15012.32031
21-08-2009,14951.49023,15275.16992,14835.08008,15240.83008
24-08-2009,15362.92969,15676.34961,15362.92969,15628.75
25-08-2009,15573.91016,15735.32031,15423.38965,15688.46973
26-08-2009,15763.08984,15831.49023,15695.94043,15769.84961
27-08-2009,15711.79981,15853.70996,15685.49023,15781.07031
28-08-2009,15770.19043,15957.66992,15663.34961,15922.33984
31-08-2009,15812.15039,15821.34961,15589.79981,15666.63965
01-09-2009,15691.26953,15923.08984,15475.28027,15551.19043
02-09-2009,15482.04981,15628.09961,15392.67969,15467.45996
03-09-2009,15539.33984,15598.17969,15356.71973,15398.33008
04-09-2009,15425.86035,15740.83008,15358.94043,15689.12012
07-09-2009,15793.26953,16035.5,15793.26953,16016.32031
08-09-2009,16030.55957,16232.16016,16030.55957,16123.66992
09-09-2009,16111.08984,16215.74023,16044.76953,16183.54981
10-09-2009,16295.91992,16434.76953,16166.41992,16216.86035
11-09-2009,16254.57031,16337.98047,16130.32031,16264.29981
14-09-2009,16185.25977,16252.17969,16119.9502,16214.19043
15-09-2009,16255.41992,16477.23047,16255.41992,16454.44922
16-09-2009,16498.58984,16700.56055,16498.58984,16677.03906
17-09-2009,16686.38086,16820.01953,16636.55078,16711.10938
18-09-2009,16650.05078,16765.0293,16610.05078,16741.30078
22-09-2009,16805.2207,16943.49023,16763.7793,16886.42969
23-09-2009,16905.5,16905.58008,16683.7793,16719.5
24-09-2009,16634.08008,16834.09961,16494.91992,16781.42969
25-09-2009,16679.99023,16812.01953,16613.2207,16693
29-09-2009,16829.10938,16907.83984,16802.80078,16852.91016
30-09-2009,16868.46094,17142.51953,16868.46094,17126.83984
01-10-2009,17186.19922,17195.60938,17059.35938,17134.55078
05-10-2009,17062.00977,17062.00977,16835.80078,16866.41016
06-10-2009,16879.38086,16988.56055,16622.05078,16958.53906
07-10-2009,17069.41992,17120.56055,16764.07031,16806.66016
08-10-2009,16908.01953,16998.51953,16775.35938,16843.53906
09-10-2009,16915.96094,16963.08008,16606.94922,16642.66016
12-10-2009,16687.32031,17068.7793,16687.32031,17026.66992
14-10-2009,17117.90039,17274.58984,17117.90039,17231.10938
15-10-2009,17274.07031,17350.39063,17092.83008,17195.19922
16-10-2009,17196.80078,17347.84961,17126.55078,17322.82031
20-10-2009,17414.80078,17457.25977,17185.03906,17223.00977
21-10-2009,17229.7207,17248.68945,16997.85938,17009.16992
22-10-2009,17031.53906,17031.53906,16721.25977,16789.74023
23-10-2009,16795.66016,17006.76953,16765.19922,16810.81055
26-10-2009,16808.05078,16938.88086,16706.08008,16740.5
27-10-2009,16699.08984,16699.08984,16311.5,16353.40039
28-10-2009,16335.78027,16411.14063,16144.16992,16283.49023
29-10-2009,16191.38965,16264.08984,15993.83008,16052.71973
30-10-2009,16135.87012,16360.87988,15805.2002,15896.28027
03-11-2009,15838.62988,15957.05957,15330.55957,15404.94043
04-11-2009,15487.96973,15929.08984,15487.96973,15912.12988
05-11-2009,15926.12988,16092.37988,15564.88965,16063.90039
06-11-2009,16137.41992,16283.86035,16075.19043,16158.28027
09-11-2009,16190.79004,16517.41992,16147.20996,16498.7207
10-11-2009,16552.42969,16677.5293,16371.66016,16440.56055
11-11-2009,16444.43945,16887.80078,16405.18945,16849.59961
12-11-2009,16822.17969,16896.61914,16605.00977,16696.0293
13-11-2009,16693.15039,16909.74023,16666.69922,16848.83008
16-11-2009,16893.10938,17083.19922,16893.10938,17032.50977
17-11-2009,17036.23047,17080.16992,16882.98047,17050.65039
18-11-2009,17032.00977,17098.78906,16958.41016,16998.7793
19-11-2009,17004.98047,17004.98047,16712.33008,16785.65039
20-11-2009,16772.75,17041.78906,16635.75,17021.84961
23-11-2009,17067.14063,17214.58008,17045.01953,17180.17969
24-11-2009,17230.85938,17230.85938,17027.51953,17131.08008
25-11-2009,17149.08008,17290.48047,17124.15039,17198.94922
26-11-2009,17199.05078,17202.50977,16808.86914,16854.92969
27-11-2009,16718.80078,16718.80078,16210.44043,16632.00977
30-11-2009,16655.75,17026.91016,16655.75,16926.2207
01-12-2009,16947.46094,17218.46094,16947.46094,17198.26953
02-12-2009,17226.49023,17329.67969,17142.35938,17169.91016
03-12-2009,17199.64063,17361.26953,17128.21094,17185.67969
04-12-2009,17182.23047,17291.83008,17032.81055,17101.53906
07-12-2009,17106.74023,17176.61914,16943.00977,16983.14063
08-12-2009,16984.53906,17237.78906,16964.10938,17227.67969
09-12-2009,17204.32031,17227.96094,17057.36914,17125.2207
10-12-2009,17107,17231.05078,17032.30078,17189.31055
